ASM_name	total_isoforms	total_exons	total_read_count_group_1	total_read_count_group_2	iso_p_value	TruePsi_Total10	Turbo_Pmin_JC_c01	majiq_Postmax_p001	leafcutter_p_value	JumPmin	Type	TurboMajorPsiGroup1	TurboMajorPsiGroup2	TurboMajorPsiGroup1	TurboMajorPsiGroup2	FluxPsiG1	FluxPsiG2	majiqPsiG1	majiqPsiG2	logitRegP	TotalCountG1	TotalCountG2	ttestRegP
ASM23	6	7	1634	11582	0.403090432	0.093602181	NA	0.974	NA	0.00338	NA	NA	NA	NA	NA	0.834969248	0.928571429	0.924	0.78	0.333063718	81	15.33333333	0.333063718
ASM24	5	23	12854	15928	0.426425207	0.035936096	0.773	0.837	NA	0.0523	NA	0.971833333	0.965166667	0.971833333	0.965166667	0.719765945	0.68382985	0.981	0.999	0.20463455	304.6666667	262.3333333	0.20463455
ASM25	2	3	3520	4415	0.765281248	0.005313811	1	0.61	NA	0.119	SE	0.989	0.979333333	0.989	0.979333333	0.988775339	0.983461528	0.986	0.993	0.386003162	533.6666667	449	0.386003162
ASM26	4	8	42681	46009	1	0.028310271	NA	NA	NA	0.324	NA	NA	NA	NA	NA	0.956372473	0.928062202	NA	NA	6.83E-06	1429	1385.333333	6.83E-06
ASM27	5	12	25160	11636	0.064767588	0.121964547	8.07E-05	0.997	0.00835	0.0269	NA	0.761	0.893333333	0.761	0.893333333	0.595543076	0.698359637	0.96	0.98	0.013649529	145.3333333	348.3333333	0.013649529
ASM28	2	3	513	503	0.23870595	0.013910008	0.0274	0.964	NA	0.0195	NA	0.7235	0.770333333	0.7235	0.770333333	0.895818896	0.881908888	0.843	0.938	0.586971272	153.3333333	173	0.586971272
ASM29	2	3	279	66	0.010958118	0.01984127	NA	NA	NA	0.0248	NA	NA	NA	NA	NA	1	0.98015873	NA	NA	0.422649731	30	73.66666667	0.422649731
ASM30	3	7	1006	415	0.129239499	0.111741787	0.0233	0.887	NA	0.238	NA	0.683666667	0.690333333	0.683666667	0.690333333	0.529837478	0.621737995	0.936	0.988	0.050994555	30	79.33333333	0.050994555
ASM31	3	21	258858	161741	0.23745315	0.050956587	1	0.997	0.00797	0.0309	NA	0.996	0.995666667	0.996	0.995666667	0.664282174	0.715238761	0.995	0.996	0.001980248	2500.666667	4059	0.001980248
ASM32	9	10	339	1582	0.620269142	0.11885765	NA	NA	NA	0.00238	NA	NA	NA	NA	NA	0.568527266	0.526143791	NA	NA	0.370938323	87.33333333	17.66666667	0.370938323
ASM33	2	4	1	5	0.670026619	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.333333333	NA
ASM34	2	4	328	244	0.798085162	NA	NA	NA	NA	0.253	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.333333333	6	NA
ASM35	2	13	71631	44478	0.527554661	0.012593269	NA	0.652	0.543	0.0624	NA	NA	NA	NA	NA	0.93685624	0.94560845	0.991	0.999	0.061958289	258.6666667	452.3333333	0.061958289
ASM36	5	28	784	736	0.330929765	0.064757304	0.0751	0.958	NA	0.154	NA	0.802666667	0.776333333	0.802666667	0.776333333	0.270502646	0.210029906	0.993	0.991	0.053639825	13.33333333	20.66666667	0.053639825
ASM37	6	14	21586	19605	0.333841231	0.046848501	0.0336	0.938	0.014	0.00238	NA	0.832333333	0.839	0.832333333	0.839	0.436850317	0.408016117	0.974	0.963	0.014466928	1394	1630.333333	0.014466928
ASM38	2	3	1983	169	2.31E-01	0.068221034	0.392	NA	NA	0.0132	SE	0.603	0.706666667	0.603	0.706666667	0.627350427	0.695571461	NA	NA	0.095857637	9.666666667	144.6666667	0.095857637
ASM39	5	7	2915	2577	0.186361963	0.040829236	0.000568	0.719	0.0786	0.000546	NA	0.976	0.964166667	0.976	0.964166667	0.949545159	0.908715923	0.983	0.988	0.051834113	164.3333333	200.6666667	0.051834113
ASM40	2	23	77	16204	0.624357041	0.217614977	NA	NA	NA	0.394	NA	NA	NA	NA	NA	0.782385023	1	NA	NA	0.012684138	204.6666667	1	0.012684138
ASM41	3	48	5331	6960	0.014006686	0.038624339	0.0123	1	2.87E-05	4.10E-05	NA	0.782888889	0.851444444	0.782888889	0.851444444	0.744444444	0.783068783	0.996	0.996	0.577581107	10	10	0.577581107
ASM42	4	22	7934	10354	0.086863209	NA	0.197	0.932	NA	0.047	NA	0.988333333	0.97	0.988333333	0.97	NA	NA	0.999	0.999	NA	7.666666667	7	NA
ASM43	8	18	50	109	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.333333333	1	NA
ASM44	2	3	3080	2779	0.565435284	0.141146689	NA	0.702	NA	0.0106	NA	NA	NA	NA	NA	0.806808134	0.947954823	0.516	0.554	0.085382765	28	52	0.085382765
ASM45	2	4	675	506	0.690915385	0.039328938	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.901205133	0.940534071	NA	NA	0.087695284	37.33333333	51.33333333	0.087695284
ASM46	3	7	14071	15783	0.694683199	0.001068376	1	0.61	NA	0.00298	NA	1	0.997	1	0.997	1	0.998931624	0.996	0.999	0.422649731	328	313.6666667	0.422649731
ASM47	4	37	18073	12934	0.707635842	0.020580239	NA	0.637	NA	0.485	NA	NA	NA	NA	NA	0.594548395	0.595159752	0.999	0.998	0.170562702	77.33333333	128.3333333	0.170562702
ASM48	6	9	1874	3353	NA	NA	1	0.675	NA	NA	NA	0.962	0.944333333	0.962	0.944333333	NA	NA	0.946	0.994	NA	3	4	NA
ASM49	3	6	10360	15240	0.166201565	0.022745136	1	0.692	NA	NA	NA	0.992	0.997666667	0.992	0.997666667	0.973358452	0.950613316	0.998	0.995	0.038627861	300.6666667	227	0.038627861
ASM50	3	5	51	43	0.809007839	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.666666667	3	NA
ASM51	3	48	5295	7306	0.696369151	NA	0.604	0.705	NA	NA	NA	0.956111111	0.957666667	0.956111111	0.957666667	NA	NA	0.995	0.996	NA	1.333333333	2	NA
ASM52	4	34	2339	1454	0.649374681	NA	0.0452	0.769	0.819	0.62	NA	0.762583333	0.838416667	0.762583333	0.838416667	NA	NA	0.996	0.996	NA	0	0	NA
ASM53	2	3	15167	22313	0.827544199	0.073264722	NA	0.61	NA	NA	NA	NA	NA	NA	NA	0.890014874	0.816750152	0.998	0.998	0.561332684	132	53	0.561332684
ASM54	4	6	38302	35369	0.761900683	0.032892139	0.101	0.867	0.0175	0.0711	NA	0.827833333	0.806333333	0.827833333	0.806333333	0.635715048	0.603352573	0.999	0.998	0.111349971	910.6666667	1063.666667	0.111349971
ASM55	2	6	240	217	0.584929226	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.333333333	10.66666667	NA
ASM56	2	18	45234	36205	0.003191717	0.083890244	1	1	0.000279	9.36E-12	NA	0.994333333	0.995666667	0.994333333	0.995666667	0.934204292	0.850314049	0.998	0.998	2.34E-05	856.3333333	1132	2.34E-05
ASM57	3	5	3134	2631	0.765175702	0.001529944	NA	0.757	0.515	0.868	NA	NA	NA	NA	NA	0.76346493	0.764994874	0.997	0.995	0.911042621	45	62.66666667	0.911042621
ASM58	2	4	969	824	1	0.066447213	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.751626016	0.818073229	NA	NA	0.146473664	34.33333333	48	0.146473664
ASM59	4	7	11762	2915	0.050764915	0.042115856	0.554	0.642	0.772	0.722	NA	0.880666667	0.853666667	0.880666667	0.853666667	0.865509806	0.907625662	0.997	0.965	0.022926421	93.66666667	404	0.022926421
ASM60	6	25	21038	5204	1.30E-01	0.330365986	NA	1	3.98E-05	4.60E-05	NA	NA	NA	NA	NA	0.212425582	0.399056482	1	0.998	0.002879716	66	313.6666667	0.002879716
ASM61	2	18	15183	14938	0.025570154	0.045384005	NA	0.61	NA	NA	NA	NA	NA	NA	NA	0.880716221	0.838917915	0.997	0.997	0.223693571	80.33333333	92	0.223693571
ASM62	6	19	6088	4288	0.015764042	0.047022987	0.794	0.905	0.426	0.244	NA	0.952666667	0.972	0.952666667	0.972	0.539763071	0.493055556	0.998	0.997	0.054399731	44.33333333	66.33333333	0.054399731
ASM63	2	4	28639	16059	1	0.098901099	NA	0.809	NA	0.107	NA	NA	NA	NA	NA	0.673260073	0.574358974	0.999	0.998	0.270619784	29.66666667	60.66666667	0.270619784
ASM64	2	3	11733	7045	7.36E-01	0.010347303	NA	0.672	0.378	0.838	NA	NA	NA	NA	NA	0.870454165	0.880801467	0.835	0.85	0.737115778	157	293.6666667	0.737115778
ASM65	5	15	12313	16966	0.508443956	0.098462812	0.00176	0.957	NA	0.000522	NA	0.9565	0.959166667	0.9565	0.959166667	0.640756303	0.739219114	0.997	0.988	0.375617783	14.33333333	10.66666667	0.375617783
ASM66	2	3	7	0	NA	NA	NA	NA	NA	NA	SE	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	2.666666667	NA
ASM67	3	6	10188	3674	1	0.006856299	NA	0.648	0.173	0.502	NA	NA	NA	NA	NA	0.88514218	0.890744938	0.876	0.855	0.322593589	258	801	0.322593589
ASM68	3	33	4712	637	0.030322042	NA	2.29E-06	NA	NA	0.822	NA	1	0.838166667	1	0.838166667	NA	NA	NA	NA	NA	0.333333333	2.333333333	NA
ASM69	2	3	1468	0	NA	0.941404722	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0.941404722	NA	NA	1	0	39.66666667	1
ASM70	3	17	44673	31379	0.787836456	0.028329444	0.00186	0.986	0.000609	0.00479	NA	0.849222222	0.823444444	0.849222222	0.823444444	0.693117751	0.721447195	0.999	1	0.051251045	1268.666667	1884.666667	0.051251045
ASM71	10	8	78954	20361	0.716219293	0.13778953	1	0.703	0.477	0.0615	NA	0.977666667	0.984777778	0.977666667	0.984777778	0.645573381	0.78336291	0.976	0.982	0.024623224	19	107	0.024623224
ASM72	3	8	2569	147	0.575022711	0.160041408	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.839958592	NA	NA	0.152245617	2.666666667	46	0.152245617
ASM73	2	5	1376	58	0.549253452	0.034811026	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.965188974	NA	NA	0.207692101	3	50.33333333	0.207692101
ASM74	2	41	17951	11777	0.124181164	0.118883069	0.0385	0.991	0.0893	0.0621	NA	0.726083333	0.704833333	0.726083333	0.704833333	0.652137794	0.722657136	0.998	0.997	0.014357411	66.33333333	112.3333333	0.014357411
ASM75	2	18	542195	589185	0.465219046	0.004376647	NA	0.61	NA	0.0154	NA	NA	NA	NA	NA	0.991760749	0.987384101	1	1	0.001519928	11190	11130	0.001519928
ASM76	5	6	314	404	0.053101682	0.185086387	0.0599	0.831	NA	0.00717	NA	0.547666667	0.765333333	0.547666667	0.765333333	0.464230541	0.608778272	0.762	0.554	0.004936709	32.33333333	28	0.004936709
ASM77	2	3	1819	849	0.598993751	0.041621524	NA	0.7	NA	0.56	NA	NA	NA	NA	NA	0.726923077	0.685301553	0.628	0.606	0.097869834	26.66666667	69	0.097869834
ASM78	7	7	4048	2118	9.56E-01	0.035825113	NA	0.677	NA	NA	NA	NA	NA	NA	NA	0.574362715	0.588098391	0.895	0.871	0.429520099	68	133.6666667	0.429520099
ASM79	3	16	4224	5398	0.004006668	0.113092058	0.178	0.768	NA	0.0933	NA	0.889333333	0.825666667	0.889333333	0.825666667	0.549976833	0.436884775	0.974	0.959	0.000242026	56.33333333	50.33333333	0.000242026
ASM80	2	35	6784	1102	0.476732022	NA	0.134	NA	NA	0.0178	NA	1	0.936666667	1	0.936666667	NA	NA	NA	NA	NA	1.666666667	10.33333333	NA
ASM81	5	24	72236	58363	0.025610351	0.150954804	1.43E-05	1	0.000357	0.00122	NA	0.845555556	0.886888889	0.845555556	0.886888889	0.520542899	0.671497702	0.998	0.999	6.54E-05	437	564	6.54E-05
ASM82	2	4	5230	3819	1.63E-02	0.064839954	NA	0.827	NA	0.465	NA	NA	NA	NA	NA	0.921452235	0.856612281	0.923	0.86	0.039738834	120	125	0.039738834
ASM83	5	8	3213	2891	0.002178085	0.127554245	0.151	0.999	0.000315	0.0111	NA	0.514333333	0.605	0.514333333	0.605	0.489550979	0.391233933	0.608	0.555	0.011529919	226	272.6666667	0.011529919
ASM84	6	10	6112	4170	8.42E-02	0	NA	0.892	NA	0.0146	NA	NA	NA	NA	NA	1	1	0.999	0.998	1	6	17.33333333	1
ASM85	8	11	3225	1989	0.671099121	0.014426681	NA	0.695	NA	0.425	NA	NA	NA	NA	NA	0.481428571	0.495855253	0.77	0.787	0.632696655	26.33333333	42.66666667	0.632696655
ASM86	2	3	269	614	0.235391037	0.018545322	1	0.614	NA	NA	SE	0.989	1	0.989	1	0.971650757	0.990196078	0.988	0.988	0.195343876	59	34.33333333	0.195343876
ASM87	3	38	15859	12539	1	0.020833333	0.838	0.778	0.419	0.0566	NA	0.731833333	0.746833333	0.731833333	0.746833333	0.979166667	1	0.998	0.998	0.422649731	15.33333333	16.66666667	0.422649731
ASM88	2	3	925	542	0.11078359	0.169118225	0.169	0.797	0.333	0.171	SE	0.620666667	0.511666667	0.620666667	0.511666667	0.653798122	0.484679896	0.506	0.611	0.000492246	80	154	0.000492246
ASM89	3	23	35244	44849	0.177966396	NA	1	0.661	0.924	0.0167	NA	0.979166667	0.979666667	0.979166667	0.979666667	NA	NA	1	1	NA	3.666666667	9.666666667	NA
ASM90	6	8	1684	1537	0.654241635	NA	0.504	0.846	0.401	0.283	NA	0.91	0.939333333	0.91	0.939333333	NA	NA	0.997	0.997	NA	0	0	NA
ASM91	7	8	1591	1576	0.472514663	NA	0.504	0.846	0.401	0.283	NA	0.91	0.939333333	0.91	0.939333333	NA	NA	0.997	0.997	NA	4.666666667	6.666666667	NA
ASM92	6	6	5179	4845	0.766336658	0.054942995	1	0.659	NA	0.447	NA	0.977666667	0.980666667	0.977666667	0.980666667	0.566651633	0.516217627	0.979	0.972	0.002263377	175.3333333	220.3333333	0.002263377
ASM93	2	3	1291	1126	0.03005118	NA	NA	0.644	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.981	0.954	NA	3.666666667	4.666666667	NA
ASM94	8	11	6007	4692	0.952114656	0.045740145	0.453	0.702	0.688	0.0138	NA	0.920666667	0.9245	0.920666667	0.9245	0.803878491	0.849618635	0.947	0.978	0.191158218	109.3333333	150.3333333	0.191158218
ASM95	4	30	1475	3936	0.003683683	0.219024251	NA	NA	NA	0.187	NA	NA	NA	NA	NA	0.484561404	0.427868428	NA	NA	0.03014446	22	11	0.03014446
ASM96	3	4	7535	8890	0.311718436	0.003666991	1	0.61	NA	NA	NA	0.995666667	0.9975	0.995666667	0.9975	0.991112961	0.994779952	0.998	0.996	0.158034609	599.6666667	568.3333333	0.158034609
ASM97	5	13	270	174	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.333333333	3.666666667	NA
ASM98	3	15	43174	58155	1	0.002434157	NA	0.61	NA	NA	NA	NA	NA	NA	NA	0.986874619	0.986744934	1	1	0.045133682	1603	1242	0.045133682
ASM99	2	3	3546	2774	0.383940796	0.000721037	1	0.61	NA	NA	SE	0.994	1	0.994	1	0.997484277	0.998205314	0.999	0.997	0.80789659	273.3333333	372	0.80789659
ASM100	2	3	1410	1031	0.582564769	NA	NA	NA	NA	NA	ASS	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.666666667	4.666666667	NA
ASM101	4	6	6587	7599	0.98584711	0.027987778	0.611	0.631	NA	NA	NA	0.936	0.960333333	0.936	0.960333333	0.854934956	0.879844961	0.971	0.96	0.056875412	96.33333333	86	0.056875412
ASM102	7	10	2934	5083	0.784041067	0.003665221	NA	0.61	NA	NA	NA	NA	NA	NA	NA	0.985035344	0.988700565	0.996	0.997	0.781388033	113.3333333	66.66666667	0.781388033
ASM103	11	17	1726	1579	0.260443149	NA	7.49E-05	0.901	0.946	0.239	NA	0.808333333	0.811916667	0.808333333	0.811916667	NA	NA	0.93	0.833	NA	4.666666667	3.666666667	NA
ASM104	3	5	1009	761	0.111010768	0.027170309	NA	0.719	NA	NA	NA	NA	NA	NA	NA	0.796689342	0.823859651	0.868	0.927	0.641256326	49	73.33333333	0.641256326
ASM105	3	5	1706	1120	0.312061925	0.027170309	0.347	0.883	NA	0.385	NA	0.866	0.819	0.866	0.819	0.796689342	0.823859651	0.808	0.929	0.641256326	49	73.33333333	0.641256326
ASM106	6	9	6851	4485	0.692410208	0.018972877	0.00892	0.818	0.00348	0.0193	NA	0.962333333	0.925666667	0.962333333	0.925666667	0.865784185	0.846811308	1	0.999	0.087942955	293.6666667	472.3333333	0.087942955
ASM107	5	18	4488	2217	0.343593796	0.067615511	NA	NA	NA	0.467	NA	NA	NA	NA	NA	0.367623604	0.318808605	NA	NA	0.062898849	21	45	0.062898849
ASM108	2	4	287	67	0.843820445	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.666666667	5	NA
ASM109	2	3	99	12	0.152367747	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.666666667	5	NA
ASM110	2	4	22611	21556	1	0.014183092	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.916231888	0.93041498	NA	NA	0.003719553	270.6666667	306.6666667	0.003719553
ASM111	2	3	4664	3604	1	0.005110382	1	0.67	0.692	0.558	NA	0.908666667	0.913666667	0.908666667	0.913666667	0.911961506	0.917071888	0.917	0.922	0.266369846	548.3333333	778.6666667	0.266369846
ASM112	6	25	56429	62153	0.791929977	0.00577057	0.618	0.618	NA	0.0177	NA	0.983833333	0.9815	0.983833333	0.9815	0.948329666	0.952902982	0.993	0.99	0.230040439	451.6666667	444.3333333	0.230040439
ASM113	5	19	4659	3430	0.476746325	0.034007374	1	0.985	NA	0.466	NA	1	0.996	1	0.996	0.853965838	0.819958464	0.992	0.997	0.330360577	75.33333333	111	0.330360577
ASM114	2	3	18	27	0.25449934	NA	0.218	NA	NA	NA	SE	0.666666667	1	0.666666667	1	NA	NA	NA	NA	NA	2	2	NA
ASM115	3	5	778	596	0.228911862	0.071074109	0.00785	0.801	0.557	0.546	NA	0.800166667	0.7365	0.800166667	0.7365	0.557845423	0.595757614	0.565	0.571	0.028457892	43	57.66666667	0.028457892
ASM116	2	9	9437	8615	1	0.002494323	NA	0.727	0.241	0.249	NA	NA	NA	NA	NA	0.988339221	0.985844898	0.956	0.979	0.457861079	228	259.3333333	0.457861079
ASM117	11	11	883	0	NA	0.464912281	NA	NA	NA	0.455	NA	NA	NA	NA	NA	0	0.464912281	NA	NA	1	0	40.66666667	1
ASM118	4	4	798	1390	0.02205937	0.242999834	0.0737	0.757	0.0827	0.107	NA	0.734	0.718833333	0.734	0.718833333	0.367761137	0.610760971	0.766	0.673	0.008930602	32.66666667	18	0.008930602
ASM119	2	3	11560	6541	0.453506031	0.004527988	1	0.61	NA	0.0469	SE	0.995	0.986333333	0.995	0.986333333	0.991821607	0.987293619	0.984	0.994	0.088021006	326	630.6666667	0.088021006
ASM120	2	15	1535	3638	0.345913247	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	NA	NA	37	17	NA
ASM121	4	23	21247	15309	0.02693773	0.082539982	0.00083	0.932	0.00727	0.00449	NA	0.779	0.736333333	0.779	0.736333333	0.481723673	0.399183691	0.989	0.968	0.048282	177.6666667	262.6666667	0.048282
ASM122	3	22	16364	8828	0.214868657	0.04297061	2.02E-06	0.974	0.041	0.0321	NA	0.876333333	0.953666667	0.876333333	0.953666667	0.722083333	0.692260833	0.992	0.999	0.03455444	173.3333333	368.3333333	0.03455444
ASM123	2	3	390	339	0.483671709	0.004107589	1	0.619	NA	NA	SE	0.986	1	0.986	1	0.970535714	0.974643304	0.995	0.975	0.827116896	33	39.66666667	0.827116896
ASM124	2	21	204071	143791	0.793407987	0.012153963	1	0.61	0.297	0.213	NA	0.984	0.991666667	0.984	0.991666667	0.966341304	0.961982724	0.99	0.986	0.090662634	1198.333333	1849.666667	0.090662634
ASM125	3	21	2673	3190	0.02403788	0.181684982	2.62E-06	1	0.00459	0.00234	NA	0.782166667	0.9265	0.782166667	0.9265	0.936913896	0.794505495	0.996	0.996	0.047593344	18.66666667	12.33333333	0.047593344
ASM126	2	3	326	268	0.126238738	0.074879559	0.105	0.796	NA	0.208	SE	0.797333333	0.657333333	0.797333333	0.657333333	0.746376812	0.671497253	0.644	0.802	0.175149157	22.33333333	35.33333333	0.175149157
ASM127	6	15	3315	2933	0.515306858	0.022911221	NA	0.896	NA	NA	NA	NA	NA	NA	NA	0.517872178	0.510192492	0.625	0.466	0.15289294	65.66666667	82.33333333	0.15289294
ASM128	5	11	30595	19847	0.081617489	0.036467236	0.566	0.95	0.021	0.0565	NA	0.848	0.853333333	0.848	0.853333333	0.893162393	0.92962963	0.986	0.991	0.604527294	11.33333333	18	0.604527294
ASM129	2	3	59	18	0.635234292	NA	NA	NA	NA	NA	SE	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.666666667	5.333333333	NA
ASM130	2	4	88	23	0.014606368	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.666666667	5.333333333	NA
ASM131	4	17	3843	2690	0.091695555	0.033135661	NA	0.95	NA	0.00256	NA	NA	NA	NA	NA	0.492248062	0.488652458	0.754	0.798	0.262385695	42.66666667	71	0.262385695
ASM132	2	3	83	15	0.062601541	NA	NA	NA	NA	NA	SE	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.333333333	10	NA
ASM133	2	4	63	22	0.105663608	NA	NA	NA	NA	0.326	ASS	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.333333333	10	NA
ASM134	2	3	279	164	0.025009363	0.068253968	0.000354	NA	NA	NA	NA	1	0.798	1	0.798	1	0.931746032	NA	NA	0.000540395	8	14.66666667	0.000540395
ASM135	3	4	479	270	0.522309031	0.282051282	NA	0.997	NA	NA	NA	NA	NA	NA	NA	1	0.717948718	0.645	0.405	0.422649731	23.66666667	24	0.422649731
ASM136	2	5	32	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	4	NA
ASM137	3	5	4600	3285	0.971632916	0.021159265	0.926	0.658	0.987	0.593	NA	0.915	0.902666667	0.915	0.902666667	0.919499106	0.89833984	0.999	0.998	0.404644657	121	168.3333333	0.404644657
ASM138	2	4	1892	1450	1	0.005581165	1	0.61	NA	NA	ASS	1	0.995333333	1	0.995333333	0.996969697	0.991388532	0.994	0.997	0.458193123	111.6666667	154.3333333	0.458193123
