ASM_name	total_isoforms	total_exons	total_read_count_group_1	total_read_count_group_2	iso_p_value	TruePsi_Total10	Turbo_Pmin_JC_c01	majiq_Postmax_p01	leafcutter_p_value	jum_p_value	Type	IsoMajorPsiGroup1	IsoMajorPsiGroup2	TurboMajorPsiGroup1	TurboMajorPsiGroup2	FluxPsiG1	FluxPsiG2	majiqPsiG1	majiqPsiG2	RegP	TotalCountG1	TotalCountG2
ASM11	2	4	30	53	0.711445225	NA	NA	NA	NA	NA	NA	0.938463712	0.992393623	NA	NA	NA	NA	NA	NA	NA	1.666666667	3.666666667
ASM12	20	23	13905	13795	0.144292372	0.05362254	2.31E-07	0.0881	0.00104	0.0394	NA	0.723019773	0.709594274	0.93925	0.926527778	0.931206096	0.896812121	0.996	1	3.38E-08	448.6666667	492.6666667
ASM13	2	4	367	153	0.327777995	0.014829913	NA	NA	NA	NA	NA	0.747357818	0.665078027	NA	NA	0.661861816	0.676691729	NA	NA	0.885940913	17.33333333	49.33333333
ASM14	10	28	2114	736	NA	NA	0.382	NA	NA	0.0976	NA	NA	NA	0.631666667	0.679333333	NA	NA	NA	NA	NA	0.333333333	0.333333333
ASM15	15	41	23865	14177	0.000324007	0.06445488	0.00143	0.13	0.024	0.0234	NA	0.385722559	0.34132028	0.867	0.921222222	0.570459188	0.576811594	0.999	0.999	0.051760447	40.66666667	88.66666667
ASM16	6	15	8591	11414	0.253078174	NA	0.291	0.00606	0.225	0.0508	NA	0.628419873	0.623463472	0.9265	0.943	NA	NA	0.999	0.999	NA	3.333333333	2.666666667
ASM17	3	4	10388	9525	0.312272186	0.01335074	1	1.05E-15	NA	0.0611	NA	0.97022626	0.96018631	0.998	1	0.975111829	0.964446629	0.997	0.999	0.038032097	402.6666667	496
ASM18	3	15	72013	87943	0.370752696	0.059484358	0.0359	0.0153	0.00493	0.0192	NA	0.78051366	0.833046957	0.905666667	0.935333333	0.792355082	0.85183944	0.985	0.989	1.42E-09	1077	962
ASM19	9	22	3269	3778	0.187336716	0.027373288	0.819	0.0254	0.576	0.0439	NA	0.26814647	0.267938941	0.832333333	0.810333333	0.65566679	0.665824916	0.99	0.993	0.780645015	31	28
ASM20	6	9	38590	53063	0.136086422	0.017774829	NA	0.00737	0.484	0.0162	NA	0.336796279	0.347630002	NA	NA	0.582933646	0.588813317	0.999	0.999	0.07127617	1033	796.3333333
ASM21	20	33	36919	19249	0.984744366	NA	0.0242	0.0692	0.263	0.0216	NA	0.51260236	0.500655856	0.792933333	0.7492	NA	NA	0.995	0.991	NA	4.333333333	7.666666667
ASM22	6	7	3559	3319	0.046070615	0.066427718	NA	0.958	NA	0.0336	NA	0.596891947	0.755652854	NA	NA	0.7	0.633572282	0.998	0.998	0.289053099	26	44.33333333
ASM23	9	10	19650	25532	0.996478544	0.015602921	NA	1.60E-18	0.921	0.0221	NA	0.515345625	0.538973784	NA	NA	0.950681534	0.966284455	0.996	0.999	0.000443536	1450	1189.333333
ASM24	3	5	2	166	0.016405297	NA	NA	NA	NA	NA	NA	0.253809429	0.835447597	NA	NA	NA	NA	NA	NA	NA	4.666666667	0
ASM25	4	7	1634	11582	0.003850993	NA	NA	0.585	NA	0.0487	NA	0.804480295	0.775975202	NA	NA	NA	NA	0.924	0.78	0.094914121	81	15.33333333
ASM26	9	23	13244	16277	NA	0.042261583	0.773	0.0282	NA	0.051	NA	NA	NA	0.965166667	0.971833333	0.663586371	0.705847953	0.981	0.999	0.255656636	85.33333333	83.33333333
ASM27	2	3	3520	4415	0.765281248	0.005313811	1	1.60E-18	NA	0.233	SE	0.979741728	0.984628901	0.979333333	0.989	0.983461528	0.988775339	0.986	0.993	0.181118019	533.6666667	449
ASM28	4	8	42681	46009	1	0.028310271	NA	NA	NA	0.0241	NA	0.914410455	0.941478349	NA	NA	0.928062202	0.956372473	NA	NA	3.17E-08	1429	1385.333333
ASM29	4	12	25160	11636	0.102206871	NA	8.07E-05	0.85	0.00835	0.0255	NA	0.721279346	0.769551612	0.893333333	0.761	NA	NA	0.96	0.98	0.245883479	90.33333333	258.6666667
ASM30	2	3	338	82	0.067896635	NA	NA	NA	NA	NA	NA	0.695580308	0.983867335	NA	NA	NA	NA	NA	NA	NA	2.333333333	12
ASM31	2	3	279	66	0.010958118	NA	NA	NA	NA	0.0946	NA	0.913665935	0.994145963	NA	NA	NA	NA	NA	NA	0.966711385	30	73.66666667
ASM32	3	7	1006	415	0.129239499	0.111741787	0.0233	0.411	NA	0.135	NA	0.526311809	0.449718582	0.690333333	0.683666667	0.621737995	0.529837478	0.936	0.988	0.070201515	30	79.33333333
ASM33	20	31	16941	13163	0.929041378	NA	9.11E-08	0.00288	0.401	0.0213	NA	0.457753451	0.445393259	0.985416667	0.967	NA	NA	0.998	0.995	NA	5.333333333	7.333333333
ASM34	10	21	260040	162358	NA	NA	1	0.0446	0.00797	0.0188	NA	NA	NA	0.995666667	0.996	NA	NA	0.995	0.996	0.999999627	1661	2903.666667
ASM35	7	10	339	1582	0.184539286	0.11885765	NA	NA	NA	0.082	NA	0.843862641	0.572493332	NA	NA	0.526143791	0.568527266	NA	NA	0.053118808	87.33333333	17.66666667
ASM36	2	4	1	5	0.670026619	NA	NA	NA	NA	NA	NA	0.705211544	0.463745544	NA	NA	NA	NA	NA	NA	NA	1	0.333333333
ASM37	5	13	71648	44478	0.226918884	0.012593269	NA	1.29E-06	0.543	0.0517	NA	0.880242345	0.883526069	NA	NA	0.94560845	0.93685624	0.991	0.999	0.22038348	258.6666667	452.3333333
ASM38	15	28	1011	945	3.94E-08	NA	0.0751	0.802	NA	0.186	NA	0.10439961	0.296480004	0.776333333	0.802666667	NA	NA	0.993	0.991	NA	3	6
ASM39	9	14	23935	21744	0.770390165	0.061930453	0.0336	0.336	0.014	0.0109	NA	0.748829905	0.745608722	0.839	0.832333333	0.880745589	0.942676041	0.974	0.963	5.30E-12	646	755.6666667
ASM40	9	14	20399	15067	0.007212572	NA	0.00228	0.0749	0.00691	0.0532	NA	0.908782165	0.838522026	0.983666667	0.961333333	NA	NA	0.999	0.999	NA	0	0
ASM41	2	3	1983	169	0.230920946	0.068221034	0.392	NA	NA	0.0771	SE	0.680255722	0.510666814	0.706666667	0.603	0.695571461	0.627350427	NA	NA	0.398170521	9.666666667	144.6666667
ASM42	2	5	2267	1905	0.906576821	NA	NA	0.0173	0.0786	0.0244	NA	0.953783691	0.956795607	NA	NA	NA	NA	0.983	0.988	NA	3.333333333	9.333333333
ASM43	9	23	77	16647	0.823973854	NA	NA	NA	NA	0.0694	NA	0.627623126	0.501991896	NA	NA	NA	NA	NA	NA	NA	7.666666667	0
ASM44	12	48	5408	7043	0.016328262	0.008126463	0.0123	1	2.87E-05	0.059	NA	0.602746231	0.497850372	0.851444444	0.782888889	0.752961472	0.759307359	0.996	0.996	0.870921067	38	39.66666667
ASM45	12	22	7934	10354	0.996548474	NA	0.197	0.0959	NA	0.0322	NA	0.499299664	0.494261951	0.97	0.988333333	NA	NA	0.999	0.999	NA	3.666666667	4.333333333
ASM46	3	11	29	44	1	NA	NA	NA	NA	NA	NA	0.801431891	0.931445322	NA	NA	NA	NA	NA	NA	NA	1.333333333	1
ASM47	2	7	25	73	0.960715776	NA	NA	NA	NA	NA	NA	0.955042552	0.996345319	NA	NA	NA	NA	NA	NA	NA	1.666666667	1
ASM48	2	4	675	506	0.690915385	0.039328938	NA	NA	NA	NA	NA	0.558977011	0.611212836	NA	NA	0.940534071	0.901205133	NA	NA	0.22935289	37.33333333	51.33333333
ASM49	3	7	14071	15783	0.694683199	0.001068376	1	1.60E-18	NA	0.0817	NA	0.926594915	0.931765872	0.997	1	0.998931624	1	0.996	0.999	0.989747895	328	313.6666667
ASM50	12	37	18702	13384	0.579569414	0.019037876	NA	0.000155	NA	0.032	NA	0.351731661	0.34992342	NA	NA	0.571197436	0.567680287	0.999	0.998	0.113526624	81	133.6666667
ASM51	5	9	1874	3353	0.570615135	NA	1	0.00442	NA	NA	NA	0.98389039	0.995126607	0.944333333	0.962	NA	NA	0.946	0.994	NA	3	4
ASM52	3	6	10360	15240	0.166201565	0.022745136	1	3.50E-05	NA	NA	NA	0.951702166	0.969814888	0.997666667	0.992	0.950613316	0.973358452	0.998	0.995	0.016103371	300.6666667	227
ASM53	3	5	51	43	0.809007839	NA	NA	NA	NA	NA	NA	0.576368863	0.599685796	NA	NA	NA	NA	NA	NA	NA	1.666666667	3
ASM54	13	48	5379	7420	0.193971118	NA	0.604	0.00997	NA	NA	NA	0.321154308	0.366038738	0.957666667	0.956111111	NA	NA	0.995	0.996	NA	1.666666667	1.333333333
ASM55	19	34	2535	1601	0.686655851	NA	0.0452	0.0685	0.819	0.0662	NA	0.326574723	0.359453979	0.838416667	0.762583333	NA	NA	0.996	0.996	NA	0	0
ASM56	2	3	15167	22313	0.827544199	0.073264722	NA	2.62E-301	NA	NA	NA	0.991589991	0.992210658	NA	NA	0.816750152	0.890014874	0.998	0.998	0.481537124	132	53
ASM57	12	31	5354	4156	0.046341818	0.008638121	0.0169	0.977	0.0109	0.0698	NA	0.210083352	0.230406028	0.788333333	0.606333333	0.527116507	0.518478386	0.996	0.995	0.845234555	63.66666667	97.33333333
ASM58	4	6	38302	35369	0.761900683	0.032892139	0.101	0.0652	0.0175	0.0114	NA	0.821648817	0.80900367	0.806333333	0.827833333	0.603352573	0.635715048	0.999	0.998	0.009415682	910.6666667	1063.666667
ASM59	2	6	240	217	0.584929226	NA	NA	NA	NA	NA	NA	0.608427771	0.727967838	NA	NA	NA	NA	NA	NA	NA	7.333333333	10.66666667
ASM60	10	18	45812	36463	3.56E-06	0.010816386	1	0.53	0.000279	0.0193	NA	0.827484563	0.920631032	0.995666667	0.994333333	0.983380023	0.994196409	0.998	0.998	0.000450507	804.6666667	979
ASM61	3	5	3134	2631	0.765175702	0.001529944	NA	0.0623	0.515	0.0587	NA	0.479600546	0.463388425	NA	NA	0.764994874	0.76346493	0.997	0.995	0.950103728	45	62.66666667
ASM62	2	4	969	824	1	0.066447213	NA	NA	NA	NA	NA	0.925676642	0.926436924	NA	NA	0.818073229	0.751626016	NA	NA	0.235415283	34.33333333	48
ASM63	4	7	11762	2915	0.050764915	0.042115856	0.554	0.000495	0.772	0.0491	NA	0.539449865	0.642111364	0.853666667	0.880666667	0.907625662	0.865509806	0.997	0.965	0.032493445	93.66666667	404
ASM64	10	25	21372	5337	7.06E-08	NA	NA	1	3.98E-05	0.0301	NA	0.780084252	0.755109044	NA	NA	NA	NA	1	0.998	NA	3.333333333	10.66666667
ASM65	4	18	15225	14989	0.022536741	0.045384005	NA	2.11E-09	NA	NA	NA	0.879429181	0.924834567	NA	NA	0.838917915	0.880716221	0.997	0.997	0.081563636	80.33333333	92
ASM66	9	19	6126	4296	0.001095598	0.100961783	0.794	0.171	0.426	0.0632	NA	0.261860564	0.301212525	0.972	0.952666667	0.705156076	0.806117859	0.998	0.997	0.083181648	29.33333333	46
ASM67	2	4	28639	16059	1	0.098901099	NA	0.0353	NA	0.0391	NA	0.533902715	0.557727649	NA	NA	0.574358974	0.673260073	0.999	0.998	0.086319561	29.66666667	60.66666667
ASM68	2	3	11733	7045	0.736416355	0.010347303	NA	0.00101	0.378	0.0491	NA	0.850683334	0.871374049	NA	NA	0.880801467	0.870454165	0.835	0.85	0.581477135	157	293.6666667
ASM69	9	15	13435	17840	0.954119133	0.098462812	0.00176	0.201	NA	0.0442	NA	0.905238126	0.937428178	0.959166667	0.9565	0.739219114	0.640756303	0.997	0.988	0.410350797	14.33333333	10.66666667
ASM70	2	3	7	0	NA	NA	NA	NA	NA	NA	SE	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	2.666666667
ASM71	3	6	10188	3674	1	0.006856299	NA	0.000187	0.173	0.025	NA	0.822332774	0.819961805	NA	NA	0.890744938	0.88514218	0.876	0.855	0.25768129	258	801
ASM72	8	32	4808	644	0.023495437	NA	2.29E-06	NA	NA	0.102	NA	0.459892866	0.363943712	0.838166667	1	NA	NA	NA	NA	NA	0.333333333	2.333333333
ASM73	12	17	45102	31685	1	0.023111905	0.00186	0.334	0.000609	0.00872	NA	0.632289536	0.615558035	0.823444444	0.849222222	0.753865014	0.730753109	0.999	1	0.011174907	1203.333333	1804
ASM74	5	8	78954	20361	0.93613415	0.13778953	1	1.71E-09	0.477	0.039	NA	0.555820906	0.527034224	0.984777778	0.977666667	0.78336291	0.645573381	0.976	0.982	0.027735362	19	107
ASM75	3	8	2569	147	0.575022711	NA	NA	NA	NA	NA	NA	0.467573745	0.670666445	NA	NA	NA	NA	NA	NA	0.980207455	2.666666667	46
ASM76	2	5	1376	58	0.549253452	0.034811026	NA	NA	NA	NA	NA	0.861263482	0.985493484	NA	NA	0.965188974	1	NA	NA	0.988079598	3	50.33333333
ASM77	20	40	18095	11900	0.13068897	0.130860667	0.0385	0.803	0.0893	0.064	NA	0.70543103	0.63994805	0.615555556	0.634777778	0.793233105	0.718614719	0.998	0.997	0.00019732	60.33333333	102.3333333
ASM78	6	18	544150	590920	1.73E-05	0.002018288	NA	2.62E-301	NA	0.0282	NA	0.85094023	0.835636264	NA	NA	0.990619098	0.992344019	1	1	1.15E-07	11183.33333	11093.66667
ASM79	4	6	314	404	0.073675624	0.185086387	0.0599	0.341	NA	0.141	NA	0.887617122	0.979054473	0.765333333	0.547666667	0.608778272	0.464230541	0.762	0.554	0.007417202	32.33333333	28
ASM80	2	3	1819	849	0.598993751	0.041621524	NA	0.0199	NA	0.0655	NA	0.652923588	0.705149733	NA	NA	0.685301553	0.726923077	0.628	0.606	0.519423095	26.66666667	69
ASM81	4	7	4048	2118	0.970241164	0.035825113	NA	0.00489	NA	NA	NA	0.805388146	0.816037712	NA	NA	0.588098391	0.574362715	0.895	0.871	0.116574484	68	133.6666667
ASM82	5	15	4233	5400	1.64E-05	NA	0.178	0.0662	NA	0.091	NA	0.389281158	0.553261613	0.825666667	0.889333333	NA	NA	0.974	0.959	0.37642557	24	26.66666667
ASM83	8	35	6927	1136	0.020360374	NA	0.134	NA	NA	0.0692	NA	0.480426564	0.455435157	0.936666667	1	NA	NA	NA	NA	NA	1.666666667	10.33333333
ASM84	6	24	72309	58413	4.44E-16	0.010356566	1.43E-05	0.884	0.000357	0.0198	NA	0.317526677	0.423160685	0.886888889	0.845555556	0.986032231	0.975675665	0.998	0.999	0.104524333	233	384
ASM85	2	4	5230	3819	0.016310342	0.064839954	NA	0.0754	NA	0.236	NA	0.608184764	0.729506538	NA	NA	0.856612281	0.921452235	0.923	0.86	0.004947621	120	125
ASM86	5	8	3213	2891	0.002178085	0.127554245	0.151	0.902	0.000315	0.0383	NA	0.295106956	0.45392111	0.605	0.514333333	0.391233933	0.489550979	0.608	0.555	3.93E-08	226	272.6666667
ASM87	6	13	6225	4246	0.013856448	0	NA	0.025	0.457	0.0257	NA	0.595893904	0.52319255	NA	NA	1	1	0.999	0.998	0.999989843	6	17.33333333
ASM88	5	11	3225	1989	0.089397801	0.014426681	NA	0.0154	NA	0.0561	NA	0.566329049	0.472661726	NA	NA	0.495855253	0.481428571	0.77	0.787	0.875835729	26.33333333	42.66666667
ASM89	2	3	269	614	0.235391037	0.018545322	1	5.23E-05	NA	NA	SE	0.995967246	0.984458209	1	0.989	0.990196078	0.971650757	0.988	0.988	0.324221546	59	34.33333333
ASM90	12	38	16218	12810	0.931734682	0.020833333	0.838	0.0245	0.419	0.028	NA	0.278268932	0.299534816	0.746833333	0.731833333	1	0.979166667	0.998	0.998	0.999996282	15.33333333	16.66666667
ASM91	2	3	925	542	0.11078359	0.169118225	0.169	0.14	0.333	0.0717	SE	0.50994348	0.634979261	0.511666667	0.620666667	0.484679896	0.653798122	0.506	0.611	2.22E-05	80	154
ASM92	14	23	35703	45478	0.460617407	NA	1	1.05E-12	0.924	0.0807	NA	0.780407886	0.782412162	0.979666667	0.979166667	NA	NA	1	1	NA	2.666666667	2
ASM93	6	8	1684	1537	0.654241635	NA	0.504	0.263	0.401	0.0636	NA	0.559300373	0.482459381	0.939333333	0.91	NA	NA	0.997	0.997	NA	0	0
ASM94	4	8	1466	1490	0.239370388	NA	0.504	0.263	0.401	0.0636	NA	0.442875949	0.464159247	0.939333333	0.91	NA	NA	0.997	0.997	NA	4.666666667	6.666666667
ASM95	3	6	5179	4845	0.709234025	0.054942995	1	0.00136	NA	0.0678	NA	0.484395326	0.511566061	0.980666667	0.977666667	0.516217627	0.566651633	0.979	0.972	0.057934385	175.3333333	220.3333333
ASM96	2	3	1291	1126	0.03005118	NA	NA	9.84E-05	NA	NA	NA	0.54504124	0.689641389	NA	NA	NA	NA	0.981	0.954	NA	3.666666667	4.666666667
ASM97	4	11	6007	4692	0.561936537	NA	0.453	0.01	0.688	0.0575	NA	0.932935832	0.937291633	0.9245	0.920666667	NA	NA	0.947	0.978	0.646837603	88.66666667	128.6666667
ASM98	8	29	1508	4011	NA	NA	NA	NA	NA	0.115	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
ASM99	12	22	35216	40844	0.674724703	0.032426044	1	0.0325	0.976	0.0369	NA	0.538062066	0.551981451	0.9975	0.995666667	0.912486772	0.880060729	0.999	1	0.498597286	16	26.66666667
ASM100	4	13	270	174	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.333333333	3.666666667
ASM101	8	15	43567	58666	1	0.002432501	NA	1.60E-18	NA	NA	NA	0.51471578	0.506280752	NA	NA	0.987781444	0.987292624	1	1	0.157027947	1602.333333	1240.666667
ASM102	2	3	3546	2774	0.383940796	NA	1	1.60E-18	NA	NA	SE	0.999547699	0.992928484	1	0.994	NA	NA	0.999	0.997	0.757684277	273.3333333	372
ASM103	2	4	3955	3131	0.882870806	0.000591723	1	1.60E-18	NA	0.0844	ASS	0.994193949	0.996915471	0.995333333	0.998333333	0.998200548	0.998792271	0.993	0.997	0.753101257	273.3333333	372
ASM104	2	3	1410	1031	0.582564769	NA	NA	NA	NA	NA	ASS	0.99675813	0.998281661	NA	NA	NA	NA	NA	NA	NA	0.666666667	4.666666667
ASM105	4	6	6587	7599	0.98584711	0.027987778	0.611	2.14E-05	NA	NA	NA	0.86758516	0.86440063	0.960333333	0.936	0.879844961	0.854934956	0.971	0.96	0.222811067	96.33333333	86
ASM106	5	9	2934	5083	0.770622011	0.003665221	NA	1.09E-09	NA	NA	NA	0.977496953	0.964001893	NA	NA	0.988700565	0.985035344	0.996	0.997	0.642651921	113.3333333	66.66666667
ASM107	10	17	1754	1629	0.262415053	NA	7.49E-05	0.24	0.946	0.0862	NA	0.683729447	0.413786668	0.811916667	0.808333333	NA	NA	0.93	0.833	NA	0	0
ASM108	3	5	1009	761	0.111010768	0.027170309	NA	0.0219	NA	NA	NA	0.549151382	0.448649584	NA	NA	0.823859651	0.796689342	0.868	0.927	0.594934982	49	73.33333333
ASM109	3	5	1706	1120	0.312061925	0.027170309	0.347	0.254	NA	0.0552	NA	0.473451252	0.456354378	0.819	0.866	0.823859651	0.796689342	0.808	0.929	0.594934982	49	73.33333333
ASM110	9	21	4803	2353	0.892395092	0.057201093	NA	NA	NA	0.211	NA	0.265994748	0.372853637	NA	NA	0.275329127	0.323907204	NA	NA	0.1375867	24	52.33333333
ASM111	2	4	287	67	0.843820445	NA	NA	NA	NA	NA	NA	0.995374888	0.981985321	NA	NA	NA	NA	NA	NA	NA	0.666666667	5
ASM112	2	3	99	12	0.152367747	NA	NA	NA	NA	NA	NA	0.680988458	0.552891537	NA	NA	NA	NA	NA	NA	NA	0.666666667	5
ASM113	2	4	22611	21556	1	0.014183092	NA	NA	NA	NA	NA	0.927254891	0.918741835	NA	NA	0.93041498	0.916231888	NA	NA	0.267731851	270.6666667	306.6666667
ASM114	2	3	4664	3604	1	0.005110382	1	2.02E-06	0.692	0.0322	NA	0.911711871	0.909714999	0.913666667	0.908666667	0.917071888	0.911961506	0.917	0.922	0.570448872	548.3333333	778.6666667
ASM115	8	25	56442	62158	0.836944951	NA	0.618	8.60E-11	NA	0.0397	NA	0.972367348	0.959421447	0.9815	0.983833333	NA	NA	0.993	0.99	0.472305154	433.6666667	427.3333333
ASM116	10	19	4684	3438	0.992169622	0.155691353	1	0.567	NA	0.118	NA	0.762999747	0.778140526	0.996	1	0.620823799	0.776515152	0.992	0.997	0.120962677	10	17.33333333
ASM117	2	3	18	27	0.25449934	NA	0.218	NA	NA	NA	SE	0.921771919	0.625270155	1	0.666666667	NA	NA	NA	NA	NA	2	2
ASM118	3	5	778	596	0.228911862	0.071074109	0.00785	0.106	0.557	0.159	NA	0.551964327	0.493929311	0.7365	0.800166667	0.595757614	0.557845423	0.565	0.571	0.218981914	43	57.66666667
ASM119	10	9	9559	8678	NA	0.002494323	NA	8.13E-05	0.241	0.0416	NA	NA	NA	NA	NA	0.985844898	0.988339221	0.956	0.979	0.681138733	228	259.3333333
ASM120	3	4	532	0	NA	NA	NA	NA	NA	0.192	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.681138733	0	40.66666667
ASM121	3	5	250	0	NA	0.379166667	NA	NA	NA	0.386	NA	NA	NA	NA	NA	0.379166667	0	NA	NA	0.681138733	0	52
ASM122	4	4	798	1390	0.02205937	0.242999834	0.0737	0.104	0.0827	0.0519	NA	0.566051369	0.361943618	0.718833333	0.734	0.610760971	0.367761137	0.766	0.673	0.004339085	32.66666667	18
ASM123	2	3	11560	6541	0.453506031	0.004527988	1	1.60E-18	NA	0.0504	SE	0.985541897	0.993267127	0.986333333	0.995	0.987293619	0.991821607	0.984	0.994	0.27980606	326	630.6666667
ASM124	8	14	3930	2360	NA	NA	5.06E-05	0.386	0.46	0.0579	NA	NA	NA	0.903	1	NA	NA	0.996	0.994	NA	0	0
ASM125	6	14	1545	3649	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.999994957	37	17
ASM126	6	23	21258	15318	0.433511887	NA	0.00083	0.442	0.00727	0.034	NA	0.364862295	0.385933054	0.736333333	0.779	NA	NA	0.989	0.968	0.096651612	88	111.6666667
ASM127	20	22	16613	8891	0.010110363	0.047153455	2.02E-06	0.318	0.041	0.0253	NA	0.455822007	0.549643655	0.953666667	0.876333333	0.785568718	0.830840211	0.992	0.999	0.0085715	150.3333333	324.6666667
ASM128	2	3	390	339	0.483671709	NA	1	0.000162	NA	NA	SE	0.99605125	0.973500754	1	0.986	NA	NA	0.995	0.975	0.81923178	33	39.66666667
ASM129	6	21	204279	143873	NA	0.012153963	1	1.60E-18	0.297	0.141	NA	NA	NA	0.991666667	0.984	0.961982724	0.966341304	0.99	0.986	3.65E-05	1198.333333	1849.666667
ASM130	7	21	2678	3203	0.000472463	NA	2.62E-06	1	0.00459	0.215	NA	0.598548951	0.338791998	0.9265	0.782166667	NA	NA	0.996	0.996	NA	1.333333333	0.333333333
ASM131	2	3	326	268	0.126238738	NA	0.105	0.199	NA	0.134	SE	0.659276969	0.826053429	0.657333333	0.797333333	NA	NA	0.644	0.802	0.286507685	22.33333333	35.33333333
ASM132	4	15	3315	2933	0.453725745	0.031606386	NA	0.45	NA	NA	NA	0.463076981	0.529372866	NA	NA	1	0.968393614	0.625	0.466	0.9999954	31.66666667	40.33333333
ASM133	9	11	30676	19910	0.14529786	0	0.566	0.271	0.021	0.0163	NA	0.566009429	0.570189398	0.853333333	0.848	1	1	0.986	0.991	0.9999949	10	16.66666667
ASM134	2	3	59	18	0.635234292	NA	NA	NA	NA	NA	SE	0.534544219	0.762910008	NA	NA	NA	NA	NA	NA	NA	1.666666667	5.333333333
ASM135	2	4	88	23	0.014606368	NA	NA	NA	NA	NA	NA	0.427045287	0.99304623	NA	NA	NA	NA	NA	NA	NA	1.666666667	5.333333333
ASM136	4	17	3843	2690	0.264119388	0.033135661	NA	0.74	NA	0.0801	NA	0.705024987	0.712287615	NA	NA	0.488652458	0.492248062	0.754	0.798	0.516796966	42.66666667	71
ASM137	2	3	83	15	0.062601541	NA	NA	NA	NA	NA	SE	0.519471419	0.984549482	NA	NA	NA	NA	NA	NA	NA	1.333333333	10
ASM138	2	4	63	22	0.105663608	NA	NA	NA	NA	0.181	ASS	0.764320078	0.500538163	NA	NA	NA	NA	NA	NA	NA	1.333333333	10
ASM139	2	3	279	164	0.025009363	NA	0.000354	NA	NA	NA	NA	0.713609219	0.987353131	0.798	1	NA	NA	NA	NA	0.999997938	8	14.66666667
ASM140	3	4	479	270	0.522309031	NA	NA	0.975	NA	NA	NA	0.7889581	0.634251014	NA	NA	NA	NA	0.645	0.405	0.955799737	23.66666667	24
ASM141	2	5	32	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	4
ASM142	3	5	4600	3285	0.971632916	0.021159265	0.926	0.000563	0.987	0.0883	NA	0.593663285	0.606505803	0.902666667	0.915	0.89833984	0.919499106	0.999	0.998	0.290127632	121	168.3333333
ASM143	2	4	1892	1450	1	0.005581165	1	1.45E-10	NA	NA	ASS	0.993965988	0.995841006	0.995333333	1	0.991388532	0.996969697	0.994	0.997	0.340275271	111.6666667	154.3333333
